name,ingredients
Vegetable Fried Rice,"rice,carrot,peas,soy sauce,onion"
Garlic Butter Rice,"rice,garlic,butter,parsley"
Tomato Rice,"rice,tomato,garlic,onion,olive oil"
Lentil Rice Bowl,"rice,lentils,onion,garlic"
Simple Lentil Soup,"lentils,onion,garlic,carrot"
Vegetable Omelette,"egg,onion,pepper,tomato"
Cheese Omelette,"egg,cheese,butter"
Scrambled Eggs,"egg,butter,milk"
Egg Fried Rice,"egg,rice,soy sauce,onion"
Rice Pudding,"rice,milk,sugar"
Garlic Pasta,"pasta,garlic,olive oil,parsley"
Tomato Pasta,"pasta,tomato,garlic,olive oil"
Creamy Pasta,"pasta,milk,cheese,butter"
Vegetable Pasta,"pasta,carrot,broccoli,garlic,olive oil"
Grilled Cheese Sandwich,"bread,cheese,butter"
Tomato Sandwich,"bread,tomato,butter"
Egg Sandwich,"bread,egg,mayonnaise"
Peanut Butter Toast,"bread,peanut butter"
Avocado Toast,"bread,avocado,olive oil"
Simple Salad,"lettuce,tomato,cucumber,olive oil"
Greek Salad,"tomato,cucumber,olive oil,cheese"
Cucumber Salad,"cucumber,olive oil,garlic"
Carrot Salad,"carrot,olive oil,lemon"
Vegetable Stir Fry,"carrot,broccoli,soy sauce,garlic"
Garlic Broccoli,"broccoli,garlic,olive oil"
Roasted Vegetables,"carrot,broccoli,onion,olive oil"
Mashed Potatoes,"potato,butter,milk"
Roasted Potatoes,"potato,olive oil,garlic"
Potato Omelette,"potato,egg,onion"
Vegetable Soup,"carrot,onion,garlic,potato"
Tomato Soup,"tomato,garlic,onion"
Creamy Mushroom Soup,"mushroom,butter,milk,garlic"
Mushroom Pasta,"pasta,mushroom,garlic,olive oil"
Mushroom Omelette,"egg,mushroom,butter"
Spinach Omelette,"egg,spinach,butter"
Spinach Pasta,"pasta,spinach,garlic,olive oil"
Spinach Rice,"rice,spinach,garlic"
Chickpea Salad,"chickpeas,tomato,cucumber,olive oil"
Chickpea Stir Fry,"chickpeas,garlic,onion,olive oil"
Chickpea Rice Bowl,"rice,chickpeas,garlic"
Bean Burrito,"beans,tortilla,cheese"
Bean Rice Bowl,"beans,rice,garlic"
Vegetable Burrito,"tortilla,beans,rice,cheese"
Simple Pancakes,"flour,milk,egg,sugar"
Banana Pancakes,"banana,flour,egg,milk"
French Toast,"bread,egg,milk,sugar"
Fruit Salad,"apple,banana,orange"
Apple Cinnamon Oatmeal,"oats,apple,milk,cinnamon"
Peanut Butter Oatmeal,"oats,milk,peanut butter"
Berry Oatmeal,"oats,milk,berries"
Cheese Quesadilla,"tortilla,cheese,butter"
Vegetable Quesadilla,"tortilla,cheese,onion,pepper"
Tomato Egg Stir Fry,"egg,tomato,garlic,onion"
Garlic Rice,"rice,garlic,olive oil"
Herb Rice,"rice,parsley,olive oil"
Vegetable Curry,"potato,carrot,onion,garlic"
Chickpea Curry,"chickpeas,tomato,garlic,onion"
Lentil Curry,"lentils,tomato,garlic,onion"
Spinach Curry,"spinach,garlic,onion,tomato"
Vegetable Noodles,"noodles,carrot,soy sauce,garlic"
Egg Noodles,"noodles,egg,soy sauce,garlic"
Garlic Noodles,"noodles,garlic,soy sauce"
Simple Ramen,"noodles,egg,garlic,soy sauce"
Vegetable Pizza,"pizza dough,tomato,cheese,pepper"
Cheese Pizza,"pizza dough,tomato,cheese"
Tomato Bruschetta,"bread,tomato,olive oil,garlic"
Garlic Bread,"bread,garlic,butter"
Vegetable Wrap,"tortilla,lettuce,tomato,cheese"
Egg Wrap,"tortilla,egg,cheese"
Rice and Beans,"rice,beans,garlic"
Simple Bean Soup,"beans,onion,garlic"
Lentil Stew,"lentils,carrot,onion,garlic"
Tomato Lentil Soup,"lentils,tomato,garlic,onion"
Vegetable Rice Bowl,"rice,carrot,broccoli,soy sauce"
Egg Rice Bowl,"egg,rice,soy sauce"
Cheese Rice,"rice,cheese,butter"
Butter Rice,"rice,butter"
Simple Fried Egg,"egg,butter"
Boiled Eggs,"egg"
Vegetable Couscous,"couscous,carrot,olive oil,garlic"
Chickpea Couscous,"couscous,chickpeas,garlic"
Garlic Couscous,"couscous,garlic,olive oil"
Simple Hummus,"chickpeas,garlic,olive oil"
Garlic Chickpeas,"chickpeas,garlic,olive oil"